pygame 2.1.2 (SDL 2.0.16, Python 3.10.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
['/dev/video0']
         771455 function calls (765972 primitive calls) in 3.935 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 contextlib.py:533(__exit__)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 document.py:1(<module>)
        1    0.000    0.000    0.000    0.000 document.py:179(InlineElement)
        1    0.000    0.000    0.000    0.000 document.py:260(AbstractDocument)
        1    0.000    0.000    0.000    0.000 document.py:271(__init__)
      215    0.000    0.000    0.000    0.000 document.py:278(text)
       15    0.000    0.000    0.019    0.001 document.py:289(text)
       15    0.000    0.000    0.018    0.001 document.py:411(insert_text)
       15    0.000    0.000    0.000    0.000 document.py:427(_insert_text)
       14    0.000    0.000    0.000    0.000 document.py:434(delete_text)
       14    0.000    0.000    0.000    0.000 document.py:447(_delete_text)
        1    0.000    0.000    0.000    0.000 document.py:492(set_style)
        1    0.000    0.000    0.000    0.000 document.py:576(UnformattedDocument)
        1    0.000    0.000    0.000    0.000 document.py:584(__init__)
      126    0.000    0.000    0.000    0.000 document.py:588(get_style_runs)
        1    0.000    0.000    0.000    0.000 document.py:595(set_style)
        1    0.000    0.000    0.000    0.000 document.py:599(_set_style)
       28    0.000    0.000    0.012    0.000 document.py:606(get_font_runs)
       28    0.000    0.000    0.012    0.000 document.py:610(get_font)
       14    0.000    0.000    0.000    0.000 document.py:620(get_element_runs)
        1    0.000    0.000    0.000    0.000 document.py:624(FormattedDocument)
        1    0.000    0.000    0.000    0.000 document.py:704(_ElementIterator)
        1    0.000    0.000    0.000    0.000 document.py:710(_FontStyleRunsRangeIterator)
        1    0.000    0.000    0.000    0.000 document.py:729(_NoStyleRangeIterator)
       26    0.000    0.000    0.000    0.000 enum.py:359(__call__)
       26    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:801(value)
       13    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        8    0.000    0.000    0.000    0.000 event.py:178(register_event_type)
        4    0.000    0.000    0.000    0.000 event.py:196(push_handlers)
       16    0.000    0.000    0.000    0.000 event.py:213(_get_handlers)
        4    0.000    0.000    0.000    0.000 event.py:243(set_handlers)
       12    0.000    0.000    0.000    0.000 event.py:256(set_handler)
      321    0.003    0.000    0.919    0.003 event.py:361(dispatch_event)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:41(MediaEvent)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:37(MediaException)
        1    0.000    0.000    0.000    0.000 exceptions.py:41(MediaFormatException)
        1    0.000    0.000    0.000    0.000 exceptions.py:45(CannotSeekException)
        1    0.000    0.000    0.000    0.000 exceptions.py:49(MediaDecodeException)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(MediaEncodeException)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:100(FFmpegStream)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:1038(FFmpegDecoder)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:1040(get_file_extensions)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:1050(get_decoders)
